ID,Title,Type,Date,Topics,ProductionYear
ld1-1643381040022-1643381054061-1,Pegasus Departing,Smithsonian American Art Museum,"1900s, 1840","Pegasus, Mythology",1900.0
ld1-1643381040022-1643381068110-0,Sofa Bedstead,Smithsonian American Art Museum,1870,"Bed, Sofa, Patent model, Furnishings",1870.0
ld1-1643381040022-1643381068114-0,Paper Bag Making Machine,Smithsonian American Art Museum,1880,"Architecture, Patent model, Machinery",1880.0
ld1-1643381040022-1643381068118-1,Sewing Machine,Smithsonian American Art Museum,1870,"Patent model, Sewing tool",1870.0
ld1-1643381040022-1643381068111-0,Heating Stove,Smithsonian American Art Museum,1870,"Patent model, Stove, Furnishings",1870.0
ld1-1643381040022-1643381062653-0,Cane,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059327-0,Green Glass Cane,Smithsonian American Art Museum,"1910s, 1870",,1910.0
ld1-1643381040022-1643381059214-0,Box,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059173-1,Chair,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059201-1,Curtain,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059189-1,Lavabo Stand,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059213-1,Bottles,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059188-1,Needlework,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059169-0,Sofa,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059189-2,Bowl,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059211-2,Pedestal,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059175-0,Chair,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381046424-0,The Meeting,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381055465-1,Album of Prints,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059202-2,Curtain,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059205-1,Carafe,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059175-1,Chair,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059212-1,Stand,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059203-0,Curtain,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059171-1,Chair,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059171-0,Chair,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059202-0,Curtain,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059088-0,Bottle,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059202-1,Curtain,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381051981-1,Untitled,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059311-0,Bottle,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059176-0,Chair,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059201-0,Curtain,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381052545-1,House on the Pond,Smithsonian American Art Museum,1810,,1810.0
ld1-1643381040022-1643381056064-2,Pont Newith near Bala,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381042636-1,Drawing,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381055793-1,Skull,Smithsonian American Art Museum,"1900s, 1980","Skull, Fragment",1900.0
ld1-1643381040022-1643381055490-1,Standing Articulated Figure,Smithsonian American Art Museum,1920,,1920.0
ld1-1643381040022-1643381069440-0,Medallion,Smithsonian American Art Museum,1890,,1890.0
ld1-1643381040022-1643381068113-0,Cotton Seed Planter,Smithsonian American Art Museum,1860,Patent model,1860.0
ld1-1643381040022-1643381068117-0,Yarn Dyeing Machine,Smithsonian American Art Museum,1850,Patent model,1850.0
ld1-1643381040022-1643381068110-1,Brick Pressing Machine,Smithsonian American Art Museum,1850,Patent model,1850.0
ld1-1643381040022-1643381064187-0,Diana,Smithsonian American Art Museum,1900,"Figure female, Nudity, Mythology, Diana (Roman deity)",1900.0
ld1-1643381040022-1643381054061-0,Pastoral Study,Smithsonian American Art Museum,1890,"Trees, Landscapes, Animals, Farms, Cattle",1890.0
ld1-1643381040022-1643381040820-1,Swale Land,Smithsonian American Art Museum,1890,"Trees, Landscapes, Marshes, Lakes",1890.0
ld1-1643381040022-1643381044622-1,Shapes of Fear,Smithsonian American Art Museum,1930,"Fear, Passion, Figure group, Allegory",1930.0
ld1-1643381040022-1643381051917-0,Small Landscape,Smithsonian American Art Museum,"1880s, 1890","Trees, Water, Landscapes, Architecture, Domestic",1880.0
ld1-1643381040022-1643381061904-1,Retrato de caballero,Smithsonian American Art Museum,1800,"Men, Portraits",1800.0
ld1-1643381040022-1643381061460-0,Millefiori Glass Column,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381055797-2,The Smithsonian Institution,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381053659-0,Untitled,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059177-1,Table,Smithsonian American Art Museum,,"Tables, Furnishings",
ld1-1643381040022-1643381066712-0,Plaque,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045046-0,Arrowhead Roadside,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381061459-1,Millefiori Glass Column,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381061460-1,Millefiori Glass Column,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381061461-0,Millefiori Glass Column,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381046971-0,Blown up and Out,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045630-0,Hopi Village,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058702-1,Carafe,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045410-0,Untitled,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381056048-0,Untitled,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381054250-0,Four Hand-colored Lithographs,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045046-1,Midsummer's Day,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059179-1,Black Oak Jewelry Cabinet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381055862-1,Untitled (Village Street on a Winter Night),Smithsonian American Art Museum,,,
ld1-1643381040022-1643381043684-0,Kenyon Cox,Smithsonian American Art Museum,"1920s, 1850","Art, Painters, Architecture, Occupations, Men, Portraits, Cox",1920.0
ld1-1643381040022-1643381059339-0,Jar,Smithsonian American Art Museum,"1900s, 1970",,1900.0
ld1-1643381040022-1643381056897-0,Untitled,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381044282-0,"(Rip Van Winkle, illustration) Rip Telling His Fabulous Story",Smithsonian American Art Museum,1840,"Amusements, Literature, Recreation, Older people, Rip Van Winkle, Storytelling, Figure group, Figure male, Irving",1840.0
ld1-1643381040022-1643381044280-1,"(Rip Van Winkle, illustration) Rip Nagged by His Wife",Smithsonian American Art Museum,1840,"Sketch Book of Geoffry Crane, Literature, Architecture, Kitchen, Occupations, Rip Van Winkle, Domestic, Figure group, Family, Irving, Laundry",1840.0
ld1-1643381040022-1643381043492-1,The Court Jester,Smithsonian American Art Museum,1880,"Courthouse, Law, Architecture, Government, Occupations, Figure male",1880.0
ld1-1643381040022-1643381054627-0,The Voyage of Life--Youth,Smithsonian American Art Museum,1850,"Life, Youth, Allegory",1850.0
ld1-1643381040022-1643381055710-1,Judge Isaac Samuels Pennybacker,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381049058-1,Green Village,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381044105-0,Lengthening Shadows,Smithsonian American Art Museum,1880,"Landscapes, Twilight, Time",1880.0
ld1-1643381040022-1643381062648-1,Cane with Black Snake and Marquetry Handle,Smithsonian American Art Museum,,"Reptile, Animals, Snakes",
ld1-1643381040022-1643381062649-0,Cane with Incised Phrasing and Emblems Overall,Smithsonian American Art Museum,,Emblems,
ld1-1643381040022-1643381055550-0,Thomas Davis,Smithsonian American Art Museum,1810,"Men, Portraits",1810.0
ld1-1643381040022-1643381069852-0,Christian Pilgrim in Sight of Rome,Smithsonian American Art Museum,1840,"Figure female, Staffs (Sticks, canes, etc.), Clothing and dress, Dress accessories",1840.0
ld1-1643381040022-1643381051955-0,Street Shrine,Smithsonian American Art Museum,1930,"Rites and ceremonies, Shrine, Night, Monuments, Figure group, Religion, Cityscapes, Time, Children, Streets",1930.0
ld1-1643381040022-1643381053521-1,The Violet Kimono,Smithsonian American Art Museum,1910,"Flower arranging, Architecture, Figure female, Occupations, Domestic, Furnishings, Dwellings",1910.0
ld1-1643381040022-1643381050690-0,Upper Ausable Lake,Smithsonian American Art Museum,1860,"Mountains, Landscapes, Animals, Lakes, Birds, Ducks",1860.0
ld1-1643381040022-1643381054056-1,Moonlight,Smithsonian American Art Museum,1880,"Boats and boating, Night, Moon, Outer space, Time, Waterscapes, Sea",1880.0
ld1-1643381040022-1643381049657-1,New Year's Shooter,Smithsonian American Art Museum,1910,"Rites and ceremonies, New Years, Holidays, Amusements, Recreation, Figure male, Smoking",1910.0
ld1-1643381040022-1643381055096-0,"Study, Christ Washing the Feet of the Disciples",Smithsonian American Art Museum,1900,"Lazarus, Figure group, Religion, Bible, N.T.",1900.0
ld1-1643381040022-1643381051538-1,John C. Calhoun,Smithsonian American Art Museum,1840,"Statesman, Occupations, Men, Portraits, Political",1840.0
ld1-1643381040022-1643381045581-1,Chester Arthur,Smithsonian American Art Museum,"1830s, 1880","Occupations, Clothing and dress, Nineteenth century dress, Men, Portraits, Political, History, Presidents",1830.0
ld1-1643381040022-1643381066582-0,The Lovers' Boat,Smithsonian American Art Museum,1880,"Landscapes, Boats and boating, Architecture, Sailboats, Outer space, Lakes",1880.0
ld1-1643381040022-1643381054062-0,With Sloping Mast and Dipping Prow,Smithsonian American Art Museum,1880,"Boats and boating, Figure group, Waterscapes, Sea",1880.0
ld1-1643381040022-1643381055090-0,"Street Scene, Tangier (Crenelated Architecture)",Smithsonian American Art Museum,1910,"Tangier, Architecture, Cityscapes, Streets",1910.0
ld1-1643381040022-1643381053078-0,Camel,Smithsonian American Art Museum,"1800s, 1870","Animals, Sculpture model, Camel",1800.0
ld1-1643381040022-1643381054050-0,Flying Dutchman,Smithsonian American Art Museum,"1880s, 1840","Weather, Boats and boating, Storms, Literature, Wagner, Figure group, Flying Dutchman, Waterscapes, Sea",1880.0
ld1-1643381040022-1643381040846-1,"Untitled (landscape with rocks, man and sailboats)",Smithsonian American Art Museum,1890,"Landscapes, Boats and boating, Coasts, Architecture, Sailboats, Rocks, Figure male",1890.0
ld1-1643381040022-1643381059946-0,"Le frère et la soeur, Penmarc'h",Smithsonian American Art Museum,1900,"Landscapes, Architecture, Figure group, Family, Children, Siblings",1900.0
ld1-1643381040022-1643381066711-1,Plaque,Smithsonian American Art Museum,1840,,1840.0
ld1-1643381040022-1643381059249-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059255-2,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066731-1,Pin Box,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059247-1,Dress Ornament,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059252-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059248-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059262-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059252-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058727-1,Bracelet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059253-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045397-0,Manhattan from Brooklyn Heights,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059256-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045941-1,"(Famous Paintings, portfolio) A Souvenir",Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058852-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059246-0,Dress Ornament,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059247-0,Dress Ornament,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059250-2,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059263-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059254-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059259-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059221-0,Glass Portrait,Smithsonian American Art Museum,1840,,1840.0
ld1-1643381040022-1643381061760-2,Chandelier,Smithsonian American Art Museum,1870,,1870.0
ld1-1643381040022-1643381059253-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059260-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059262-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059245-0,Dress Ornament,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058593-0,Bracelet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059261-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059255-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058708-1,Goblet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058633-1,Necklace,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058709-0,Goblet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059263-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066710-0,Teawood Stand,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059260-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058800-0,Necklace,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059251-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058655-1,Cope,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058728-1,Bracelet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066714-0,Mandarin Coat,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059257-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066734-1,Teapot,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059258-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059259-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058637-1,Necklace,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059255-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059250-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381052282-1,The Last November,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059249-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059258-2,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059276-1,"Lamp, Globe",Smithsonian American Art Museum,"1900s, 1850",,1900.0
ld1-1643381040022-1643381059261-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045407-0,"(Famous Paintings, portfolio) Near the Sea",Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059256-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059251-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059254-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059274-0,Painting Frame,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059248-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059261-2,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066737-0,Spoon,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059245-1,Dress Ornament,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059257-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058754-0,Lamp,Smithsonian American Art Museum,"1800s, 1700",,1800.0
ld1-1643381040022-1643381058601-0,Bracelet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381054445-0,"(Famous Paintings, portfolio) Companions",Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059253-2,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059246-1,Dress Ornament,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059258-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058729-0,Bracelet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066733-0,Teapot,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058851-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045407-1,Old Houses in Five Points,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059247-2,Dress Ornament,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059250-1,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066844-1,"Erskine, Nanny, Maxwell, Eliza and Berwick Wood",Smithsonian American Art Museum,1890,"Portraits, Family, Children, Siblings",1890.0
ld1-1643381040022-1643381055595-0,General Grant,Smithsonian American Art Museum,"1800s, 1890","Occupations, Men, Portraits, Political, Presidents, Military",1800.0
ld1-1643381040022-1643381070412-0,Last Wild Bear,Smithsonian American Art Museum,1890,,1890.0
ld1-1643381040022-1643381057561-1,Whittier Letters,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045378-0,Historical Pageant,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381057062-0,Sketchbook,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381045843-0,Tangiers,Smithsonian American Art Museum,1950,,1950.0
ld1-1643381040022-1643381057561-2,Whittier Letters,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381050711-0,Drawing,Smithsonian American Art Museum,"1790s, 1730",,1790.0
ld1-1643381040022-1643381063112-0,Cartouche,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381055988-1,The Muse of Tragedy,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381055487-1,Beach Snipe Shooting,Smithsonian American Art Museum,1860,,1860.0
ld1-1643381040022-1643381052571-0,Portrait of a Young Man,Smithsonian American Art Museum,1830,"Men, Portraits",1830.0
ld1-1643381040022-1643381054387-1,Untitled,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381054387-0,Untitled,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381055226-1,A Bride,Smithsonian American Art Museum,1890,"Rites and ceremonies, Wedding dress, Figure female, Clothing and dress",1890.0
ld1-1643381040022-1643381055231-0,Townsend Bradley Martin,Smithsonian American Art Museum,1910,"Men, Portraits, Children",1910.0
ld1-1643381040022-1643381055230-0,Girl Arranging Her Hair,Smithsonian American Art Museum,1910,"Women, Amusements, Grooming, Recreation, Portraits",1910.0
ld1-1643381040022-1643381044094-0,"Study for ""Evening""",Smithsonian American Art Museum,1880,"Landscapes, Evening, Figure female, Nudity, Time, Allegory",1880.0
ld1-1643381040022-1643381041597-0,Woman Shelling Peas,Smithsonian American Art Museum,1910,"Cooking, Figure female, Occupations, Domestic, Pea, Vegetable",1910.0
ld1-1643381040022-1643381058595-0,Bowl,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058852-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058861-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058854-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381043566-0,"(Famous Paintings, portfolio) A Pathetic Ballad",Smithsonian American Art Museum,"1920s, 1840",,1920.0
ld1-1643381040022-1643381066707-0,Carving,Smithsonian American Art Museum,"1700s, 1790",,1700.0
ld1-1643381040022-1643381058865-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381059159-0,Hexagonal Tabouret,Smithsonian American Art Museum,"1100s, 1200",,1100.0
ld1-1643381040022-1643381066716-0,Stein,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058860-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381059295-0,Dress Ornaments,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066722-2,Vase,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058650-0,Jug,Smithsonian American Art Museum,"1100s, 1200",,1100.0
ld1-1643381040022-1643381058660-0,Table Cover,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058588-1,Bowl,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058849-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381066709-1,Carved Italian Cabinet,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058597-1,Pitcher,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381053496-0,(Waterfowl Prints by Six Duck Stamp Designers) Quiet Water,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058871-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381066718-1,Vase,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058587-1,Amphora,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381059033-0,Pitcher,Smithsonian American Art Museum,"1800s, 1700",,1800.0
ld1-1643381040022-1643381055712-2,Pharoh's Horses,Smithsonian American Art Museum,"1800s, 1900",,1800.0
ld1-1643381040022-1643381058862-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058735-0,Jar,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058869-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058859-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058872-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381066717-1,Vase,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058581-1,Beaker,Smithsonian American Art Museum,"1200s, 1300",,1200.0
ld1-1643381040022-1643381058874-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058868-1,Dress Ornament,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058856-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058857-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381045219-0,Elvira,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381055770-0,Red Leather Case for Col. Nathaniel Darby Miniature,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058858-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381055945-0,"(Famous Paintings, portfolio) A Forest Home",Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058857-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058840-1,Mask Plaque,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066729-1,Tray,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058870-1,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381058741-1,Ointment Jar,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381058870-0,Dress Ornaments,Smithsonian American Art Museum,"1500s, 1600",,1500.0
ld1-1643381040022-1643381066730-1,Scent Bottle,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066731-0,Mucilage Bottle,Smithsonian American Art Museum,,,
ld1-1643381040022-1643381066707-1,Carving,Smithsonian American Art Museum,"1600s, 1690",,1600.0
